0,630,639,5000000,0,,handover_eval
1,662,674,5000000,5000000000,,handover_eval
2,704,654,5000000,10000000000,,handover_eval
3,640,655,5000000,15000000000,,handover_eval
4,640,717,5000000,20000000000,,handover_eval
5,706,684,5000000,25000000000,,handover_eval
6,684,670,5000000,30000000000,,handover_eval
7,662,659,5000000,35000000000,,handover_eval
8,695,639,5000000,40000000000,,handover_eval
9,689,720,5000000,45000000000,,handover_eval
10,697,674,5000000,50000000000,,handover_eval
11,696,667,5000000,55000000000,,handover_eval
12,641,713,5000000,60000000000,,handover_eval
13,649,660,5000000,65000000000,,handover_eval
14,659,720,5000000,70000000000,,handover_eval
15,670,700,5000000,75000000000,,handover_eval
16,668,700,5000000,80000000000,,handover_eval
17,694,668,5000000,85000000000,,handover_eval
18,705,716,5000000,90000000000,,handover_eval
19,701,633,5000000,95000000000,,handover_eval
20,708,694,5000000,100000000000,,handover_eval
21,645,673,5000000,105000000000,,handover_eval
22,657,661,5000000,110000000000,,handover_eval
23,682,647,5000000,115000000000,,handover_eval
24,665,655,5000000,120000000000,,handover_eval
