UDP burst ID    From      To        Target rate         Start time      Duration        Outgoing rate (w/ headers)  Outgoing rate (payload)     Packets sent    Data sent (w/headers)       Data sent (payload)         Metadata
69              642       659       2.00 Mbit/s         690000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
70              677       676       2.00 Mbit/s         700000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
71              645       643       2.00 Mbit/s         710000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
72              646       711       2.00 Mbit/s         720000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
73              719       658       2.00 Mbit/s         730000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
74              654       681       2.00 Mbit/s         740000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
75              688       709       2.00 Mbit/s         750000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
76              696       645       2.00 Mbit/s         760000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
77              694       645       2.00 Mbit/s         770000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
78              665       639       2.00 Mbit/s         780000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
79              637       699       2.00 Mbit/s         790000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
80              708       695       2.00 Mbit/s         800000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
81              697       668       2.00 Mbit/s         810000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
82              666       723       2.00 Mbit/s         820000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
83              686       698       2.00 Mbit/s         830000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
84              686       694       2.00 Mbit/s         840000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
85              640       718       2.00 Mbit/s         850000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
86              697       721       2.00 Mbit/s         860000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
87              656       650       2.00 Mbit/s         870000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
88              690       702       2.00 Mbit/s         880000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
89              630       650       2.00 Mbit/s         890000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
90              629       678       2.00 Mbit/s         900000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
91              701       713       2.00 Mbit/s         910000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
92              712       679       2.00 Mbit/s         920000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
93              685       704       2.00 Mbit/s         930000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
94              714       718       2.00 Mbit/s         940000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
95              681       716       2.00 Mbit/s         950000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
96              708       665       2.00 Mbit/s         960000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
97              696       657       2.00 Mbit/s         970000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
98              692       717       2.00 Mbit/s         980000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
99              691       708       2.00 Mbit/s         990000.00 ms    12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
100             672       639       2.00 Mbit/s         1000000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
101             630       664       2.00 Mbit/s         1010000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
102             647       687       2.00 Mbit/s         1020000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
103             647       717       2.00 Mbit/s         1030000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
104             632       643       2.00 Mbit/s         1040000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
105             709       712       2.00 Mbit/s         1050000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
106             639       688       2.00 Mbit/s         1060000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
107             639       692       2.00 Mbit/s         1070000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
108             721       637       2.00 Mbit/s         1080000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
109             669       664       2.00 Mbit/s         1090000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
110             664       692       2.00 Mbit/s         1100000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
111             686       651       2.00 Mbit/s         1110000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
112             634       722       2.00 Mbit/s         1120000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
113             709       684       2.00 Mbit/s         1130000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
114             684       692       2.00 Mbit/s         1140000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
115             713       656       2.00 Mbit/s         1150000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
116             715       657       2.00 Mbit/s         1160000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
117             691       669       2.00 Mbit/s         1170000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
118             664       683       2.00 Mbit/s         1180000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 2000            24.00 Mbit                  23.55 Mbit                  handover_eval
119             704       684       2.00 Mbit/s         1190000.00 ms   12000.00 ms     2.00 Mbit/s                 1.96 Mbit/s                 1667            20.00 Mbit                  19.63 Mbit                  handover_eval
